school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1_math,G2_math,G3_math,GT_math,G1_scale_math,G2_scale_math,G3_scale_math,GT_scale_math,G1_scale_math,G2_scale_math,G3_scale_math,GT_scale_math,G1_math_rank,G2_math_rank,G3_math_rank,GT_math_rank,G1_math_rank_bin,G2_math_rank_bin,G3_math_rank_bin,GT_math_rank_bin
GP,F,18,U,GT3,A,4,4,at_home,teacher,course,mother,2,2,0,yes,no,no,no,yes,yes,no,no,4,3,4,1,1,3,6,5,6,6,17,-1.7824668774646413,-1.254791054106298,-0.9649339151210796,-1.4047614859696937,-1.7824668774646413,-1.254791054106298,-0.9649339151210796,-1.4047614859696937,387,353,335,353,9,8,7,8
GP,F,17,U,GT3,T,1,1,at_home,other,course,father,1,2,0,no,yes,no,no,no,yes,yes,no,5,3,3,1,1,3,4,5,5,6,16,-1.7824668774646413,-1.520979274499417,-0.9649339151210796,-1.4981930290717906,-1.7824668774646413,-1.520979274499417,-0.9649339151210796,-1.4981930290717906,387,367,335,358,9,8,7,8
GP,F,15,U,LE3,T,1,1,at_home,other,other,mother,1,2,3,yes,no,yes,no,yes,yes,yes,no,4,3,2,2,3,3,10,7,8,10,25,-1.179146897517312,-0.7224146133200599,-0.0907391984402851,-0.6992936401028866,-1.179146897517312,-0.7224146133200599,-0.0907391984402851,-0.6992936401028866,326,300,210,293,7,6,5,6
GP,F,15,U,GT3,T,4,2,health,services,home,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,3,2,2,1,1,5,2,15,14,15,44,1.2341330222720055,0.8747147090386544,1.0020041974107081,1.0919029235528304,1.2341330222720055,0.8747147090386544,1.0020041974107081,1.0919029235528304,42,68,41,57,2,3,2,3
GP,F,16,U,GT3,T,3,3,other,other,home,father,1,2,0,no,yes,yes,no,yes,yes,no,no,4,3,2,1,2,5,4,6,10,10,26,-1.4808068874909766,-0.19003817253382177,-0.0907391984402851,-0.6183126185286689,-1.4808068874909766,-0.19003817253382177,-0.0907391984402851,-0.6183126185286689,363,204,210,287,8,5,5,6
GP,M,16,U,LE3,T,4,3,services,other,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,4,2,1,2,5,10,15,15,15,45,1.2341330222720055,1.1409029294317736,1.0020041974107081,1.1853344666549275,1.2341330222720055,1.1409029294317736,1.0020041974107081,1.1853344666549275,42,34,41,48,2,2,2,3
GP,M,16,U,LE3,T,2,2,other,other,home,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,4,1,1,3,0,12,12,11,35,0.3291530523510115,0.34233826825241637,0.12780948072991352,0.2805530130560472,0.3291530523510115,0.34233826825241637,0.12780948072991352,0.2805530130560472,129,128,163,153,4,4,5,4
GP,F,17,U,GT3,A,4,4,other,teacher,home,mother,2,2,0,yes,yes,no,no,yes,yes,no,no,4,1,4,1,1,1,6,6,5,6,17,-1.4808068874909766,-1.520979274499417,-0.9649339151210796,-1.3923109644418143,-1.4808068874909766,-1.520979274499417,-0.9649339151210796,-1.3923109644418143,363,367,335,353,8,8,7,8
GP,M,15,U,LE3,A,3,2,services,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,1,1,0,16,18,19,53,1.5357930122456702,1.9394675906111307,1.8761989140915025,1.8783517909938547,1.5357930122456702,1.9394675906111307,1.8761989140915025,1.8783517909938547,20,4,2,11,2,1,1,1
GP,M,15,U,GT3,T,3,4,other,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,5,1,1,1,5,0,14,15,15,44,0.9324730322983409,1.1409029294317736,1.0020041974107081,1.0794524020249512,0.9324730322983409,1.1409029294317736,1.0020041974107081,1.0794524020249512,66,34,41,57,3,2,2,3
